fips,county_name,state,n_single_family_homes,latitude,longitude
45055,Kershaw,SC,20879,34.333734500000006,-80.55648031499435
45057,Lancaster,SC,31392,34.741946999999996,-80.686385516206
45059,Laurens,SC,19429,34.5089935,-81.96998089750647
45061,Lee,SC,4655,34.137122500000004,-80.3026157836342
45063,Lexington,SC,89593,33.938848,-81.28648675047432
45065,McCormick,SC,3925,33.8484655,-82.25527998770596
45067,Marion,SC,7915,34.013099499999996,-79.41510847047724
45069,Marlboro,SC,7693,34.572708500000005,-79.64059474865697
45071,Newberry,SC,12622,34.332792999999995,-81.60235783539312
45073,Oconee,SC,27409,34.774664,-83.11145557234174
45075,Orangeburg,SC,23511,33.389106,-80.67372313106893
45077,Pickens,SC,35553,34.877024,-82.70224887053206
45079,Richland,SC,117174,34.02747,-80.85282294608488
45081,Saluda,SC,6027,34.036826500000004,-81.72364722889571
45083,Spartanburg,SC,100700,34.881652,-81.98395200557277
45085,Sumter,SC,31101,33.902341,-80.3457165992647
45087,Union,SC,9273,34.6833135,-81.63936171326247
45089,Williamsburg,SC,7485,33.630796000000004,-79.72417930063219
45091,York,SC,78495,34.992998,-81.18541620294809
